UF,Code,State,Year,stategdp,population,health_insurance,hospitalbeds,icu,population65,doctors,gdp_pc,IMLEE,LSS,first_restriction,first_stringency_index,week_first_restriction,deaths_week13,cases_week13,first_death,first_1kcases,first_10cases_pc,first_100cases_pc,first_1death_pc,first_10death_pc,si2020,si2021,votes_left,votes_right,votes_null,share_votes_right,deaths2020,deaths2021,cases2020,cases2021,cases_pc2020,cases_pc2021,deaths_pc2020,deaths_pc2021
PI,22,PIAUÍ,2017,27760001.7986745,3210832.0,,23.3078496064781,1.64355802069628,9.249938956631802,10.0021733167907,8645.734749957177,,,2020-03-16,29.63,12,1,11,12,19,18,22,19,24,43.22603825136612,42.525205479452055,1417113,422095,107763,0.21679573039351896,,,,,,,,
PI,22,PIAUÍ,2018,29501799.1727328,3255995.0,,23.2253002728351,1.72449680133164,9.398048829927564,10.2708925570575,9060.763045622858,6.96,,2020-03-16,29.63,12,1,11,12,19,18,22,19,24,43.22603825136612,42.525205479452055,1417113,422095,107763,0.21679573039351896,,,,,,,,
PI,22,PIAUÍ,2019,29655893.0190785,3264657.0,2.8157628810622373,22.9914597038037,1.82126708240042,9.985735101727379,10.3322274330697,9083.92306422344,5.45,,2020-03-16,29.63,12,1,11,12,19,18,22,19,24,43.22603825136612,42.525205479452055,1417113,422095,107763,0.21679573039351896,,,,,,,,
PI,22,PIAUÍ,2020,29758393.8083522,3272878.0,,23.9540053023285,2.7532259151028,10.143977257936287,10.7959782123535,9092.423795922792,2.69,3.250272331154684,2020-03-16,29.63,12,1,11,12,19,18,22,19,24,43.22603825136612,42.525205479452055,1417113,422095,107763,0.21679573039351896,2837.0,,142672.0,,4370.198768201376,,86.90040025644348,
PI,22,PIAUÍ,2021,29888156.9302028,3280658.0,,24.458436622448,3.39034608644741,9.601732335403447,11.3506526574596,9110.415328328281,3.35,5.026986217047996,2020-03-16,29.63,12,1,11,12,19,18,22,19,24,43.22603825136612,42.525205479452055,1417113,422095,107763,0.21679573039351896,,7275.0,,334440.0,,10244.261495158604,,222.8411744327199
PR,41,PARANÁ,2000,151788375.437324,9492790.0,,,,,,15989.859191799671,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2001,157596624.116639,9694709.0,,,,,,16255.941680832195,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2002,167625427.831851,9798006.0,,,,,,17108.11647103002,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2003,183228189.518471,9906866.0,,,,,,18495.070945591775,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2004,190772123.257528,10135388.0,,,,,,18822.37988891279,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
